,t,T,s,i,f,L,o,c,h,l,v,n,x,q,V,Q,B
0,1638333060000,1638333119999,CTKUSDT,1m,19640279,19643173,2.73500000,2.83700000,2.87500000,2.71400000,464143.90000000,2895,False,1303161.29540000,279463.90000000,784146.14330000,0
1,1638333060000,1638333119999,CTKUSDT,1m,19640279,19643203,2.73500000,2.84600000,2.87500000,2.71400000,467711.40000000,2925,False,1313310.78260000,282553.20000000,792936.69390000,0
2,1638333060000,1638333119999,CTKUSDT,1m,19640279,19643280,2.73500000,2.86500000,2.87500000,2.71400000,480870.40000000,3002,False,1350970.95640000,295063.00000000,828745.23310000,0
3,1638333060000,1638333119999,CTKUSDT,1m,19640279,19643294,2.73500000,2.85900000,2.87500000,2.71400000,483608.40000000,3016,True,1358805.16740000,295760.60000000,830745.94050000,0
4,1638333120000,1638333179999,CTKUSDT,1m,19643295,19643379,2.86100000,2.84600000,2.86200000,2.84400000,6517.60000000,85,False,18574.38890000,1186.20000000,3384.35140000,0
5,1638333120000,1638333179999,CTKUSDT,1m,19643295,19643419,2.86100000,2.84700000,2.86200000,2.84200000,9817.30000000,125,False,27968.31530000,3792.10000000,10805.06830000,0
6,1638333120000,1638333179999,CTKUSDT,1m,19643295,19643465,2.86100000,2.85900000,2.86200000,2.84200000,18626.80000000,171,False,53102.59750000,11357.10000000,32394.20570000,0
7,1638333120000,1638333179999,CTKUSDT,1m,19643295,19643476,2.86100000,2.86500000,2.86500000,2.84200000,19215.20000000,182,False,54785.62310000,11896.50000000,33937.14030000,0
8,1638333120000,1638333179999,CTKUSDT,1m,19643295,19643497,2.86100000,2.86500000,2.87100000,2.84200000,24489.40000000,203,False,69914.53800000,16704.20000000,47729.88710000,0
9,1638333120000,1638333179999,CTKUSDT,1m,19643295,19643544,2.86100000,2.86700000,2.87100000,2.84200000,28205.80000000,250,False,80559.70590000,19392.50000000,55434.07430000,0
10,1638333120000,1638333179999,CTKUSDT,1m,19643295,19643588,2.86100000,2.86600000,2.87100000,2.84200000,29366.70000000,294,False,83886.13410000,20088.80000000,57430.71560000,0
11,1638333120000,1638333179999,CTKUSDT,1m,19643295,19643802,2.86100000,2.83300000,2.87200000,2.82900000,57843.20000000,508,False,164976.00550000,25800.00000000,73707.27270000,0
12,1638333120000,1638333179999,CTKUSDT,1m,19643295,19643930,2.86100000,2.85300000,2.87200000,2.82900000,86765.50000000,636,False,247543.09860000,47660.70000000,136145.71070000,0
13,1638333120000,1638333179999,CTKUSDT,1m,19643295,19644028,2.86100000,2.85800000,2.87200000,2.82900000,99325.60000000,734,False,283338.50120000,51214.30000000,146285.86400000,0
14,1638333120000,1638333179999,CTKUSDT,1m,19643295,19644057,2.86100000,2.86300000,2.87200000,2.82900000,101370.10000000,763,False,289185.19480000,53049.90000000,151536.34330000,0
15,1638333120000,1638333179999,CTKUSDT,1m,19643295,19644083,2.86100000,2.86600000,2.87200000,2.82900000,103390.50000000,789,False,294973.06280000,54928.50000000,156918.45790000,0
16,1638333120000,1638333179999,CTKUSDT,1m,19643295,19644137,2.86100000,2.87600000,2.87600000,2.82900000,106941.10000000,843,False,305176.16160000,57924.60000000,165531.96810000,0
17,1638333120000,1638333179999,CTKUSDT,1m,19643295,19644185,2.86100000,2.87600000,2.87900000,2.82900000,109570.50000000,891,False,312734.34710000,59268.20000000,169395.48410000,0
18,1638333120000,1638333179999,CTKUSDT,1m,19643295,19644214,2.86100000,2.87300000,2.87900000,2.82900000,113389.70000000,920,False,323690.52770000,59797.50000000,170914.93970000,0
19,1638333120000,1638333179999,CTKUSDT,1m,19643295,19644240,2.86100000,2.87300000,2.87900000,2.82900000,114535.40000000,946,False,326984.42160000,60602.20000000,173228.92350000,0
20,1638333120000,1638333179999,CTKUSDT,1m,19643295,19645135,2.86100000,2.91800000,2.93900000,2.82900000,241189.60000000,1841,False,694371.07330000,162095.50000000,467663.78410000,0
21,1638333120000,1638333179999,CTKUSDT,1m,19643295,19645292,2.86100000,2.92800000,2.93900000,2.82900000,270372.30000000,1998,False,779566.54300000,167736.10000000,484179.54540000,0
22,1638333120000,1638333179999,CTKUSDT,1m,19643295,19645364,2.86100000,2.92500000,2.93900000,2.82900000,283985.70000000,2070,False,819417.70410000,174217.00000000,503172.00330000,0
23,1638333120000,1638333179999,CTKUSDT,1m,19643295,19645456,2.86100000,2.91100000,2.93900000,2.82900000,294537.80000000,2162,False,850178.17260000,177249.70000000,512028.51700000,0
24,1638333120000,1638333179999,CTKUSDT,1m,19643295,19645539,2.86100000,2.90400000,2.93900000,2.82900000,301940.50000000,2245,False,871698.21000000,182099.70000000,526146.91020000,0
25,1638333120000,1638333179999,CTKUSDT,1m,19643295,19645596,2.86100000,2.92600000,2.93900000,2.82900000,309742.20000000,2302,False,894480.88800000,189392.20000000,547445.73880000,0
26,1638333120000,1638333179999,CTKUSDT,1m,19643295,19645676,2.86100000,2.91700000,2.93900000,2.82900000,327139.20000000,2382,False,945276.83080000,196836.50000000,569220.04120000,0
27,1638333120000,1638333179999,CTKUSDT,1m,19643295,19645727,2.86100000,2.91000000,2.93900000,2.82900000,333153.10000000,2433,False,962831.71060000,201714.70000000,583461.27650000,0
